Nº da OS;Número de Série;Modelo;CEP;Loja/Localidade;Abertura;Previsão;Finalizado;Descrição;Observação;Status;ocorrência
6506756;BRBST3T0J8;E52645DN;32113-260;Administrativo/ Contagem-MG;24/10/2025;25/10/2025;;Troca de cabos com Defeito;Os Aberta para Técnicos da Região Metropolitana;Finalizada;Feita a troca de cabos de energia
6526966;BRCST680TD;E87760Z;"39400-611	";Loja24 Mangabeiras/ Montes Claros;"03/11/2025	";"06/11/2025	";05/11/2025 / 09:48:00;Falha no Acessório;Display com mancha preta vertical, peço apoio de algum técnico da região sobre essa questão.;Finalizada;Cliente informou que Equipamento apresenta meia tela escura, mas reiniciou o equipamento e não apresentou o erro. Foi feito análise e testes no equipamento funcionando normalmente. O momento da visita não apresentou o erro.
6441919;BRCST680MM;E87760Z;"36088-000	";Loja07/ Juiz de Fora;"30/09/2025	";"03/10/2025	";01/10/2025 /  17:27:00;Atolamento ou encravamento na saída;Visita tecnica realizada equipamento com obstrução, foi feito a remoção dos papeis,cliente acompanhou o serviço executado, impressora funcionando normalmente.;Finalizada;"Visita tecnica realizada equipamento com obstrução, foi feito a remoção dos papeis,cliente acompanhou o serviço executado, impressora funcionando normalmente.
"
6441919;BRBST3T0J5;E52645DN;"32113-260	";Administrativo/ Contagem-MG;"27/10/2025	";"28/10/2025	";17/11/2025; Falha no Acessório;Chip TPM Necessita de Reset;Finalizada;Foi solicitado pelo técnico a placa main da impressora para a substituição.
6540869;BRBST56019;E52645DN;"39400-318	";Loja04 / Dulce Sarmento;"11/11/2025	";"14/11/2025	";12/11/2025 / 10:03:00; Falha no Acessório;Impressão saindo com papeis rasgados, impressora do callcenter. 388801-3609 André Ti;Finalizada;Foi feito a limpeza interna e testes, equipamento Funcionando Normalmente.
6527906;BRBST620RG;E52645DN;"39400-840	";Loja04 / Dulce Sarmento;"04/11/2025	";"07/11/2025	"; 06/11/2025 /14:33:00;Troca de equipamento;Troca de equipamento efetuada com sucesso;Finalizada;Foi feito a substituição da impressora E 52645. Equipamento instalando e produzindo.
6545386;BRCST68077;E87760Z;38050-096;Loja27/ Uberaba;13/11/2025;"16/11/2025	";17/11/2025 / 17:00:00;Atolamento ou encravamento na Bandeja;O cliente relatou que ocorreu um atolamento de papel na bandeja externa, impossibilitando a impressão. Informou também que, ao tentar imprimir cartazes, a impressora puxou seis folhas simultaneamente, ocasionando o atolamento. Solicito o apoio de um técnico para atendimento deste chamado.;Finalizada;Equipamento com atolamento no fusor devido a desgastes. Feito a substituição do fusor, equipamento testado no modo cartaz e A4.
6553096;BRCST68045;E87760Z;38740-014;Loja35/Patrocinio;18/11/2025;"21/11/2025	";19/11/2025 / 11:00:00;Falha de impressão cartaz;O cliente relatou que a impressão dos cartazes está apresentando riscos e manchas. Realizamos testes internos, porém o problema persiste. Solicito apoio técnico para solucionar esta ocorrência.;Finalizada;Necessário a troca dos roletes por desgaste nos mesmo.
6554375;BRCST660F6;E87760Z;35164252;Loja25/Ipating;18/11/2025;"21/11/2025	";19/11/2025 / 21:13:00; Falha no Acessório;Solicito assistência técnica para atualização do firmware da impressora Cartaz da Gerencia. Devido à versão atual, algumas funcionalidades críticas estão inoperantes. Contato: Gerente Fabiano.;Finalizada;Configurações do Equipamento, ajustes dos Drivers de Impressão, Testes foram feito e está tudo Ok.
6554964;BRBST3T0KM;E52645DN;31360-280;Loja20/Serrano;"18/11/2025	";"19/11/2025	";28/11/2025;Uso inadequado/Orçamento;Avaria física pois foi usado acima da especificação do produto.;Finalizada;Placa fonte trocada e o equipamento volto a funcionar normalmente
6577269;BRCST680R3;E87760Z;"38600-436	";Loja 34/ Paracatu;"28/11/2025	";"01/12/2025	";03/12/2025;Atolamento ou encravamento na saída;Atolamento na saida da fusão;Finalizada;Foi realizado a troca da unidade de fusão pelo o técnico e o equipamento se encontra funcionando normalmente
6611275;BRCST6804J;E87760Z;37701386;Loja32/ Poços de caldas;16/12/2025;19/12/2025;;Equipamento não liga ;Tranformador com fusível queimado;Finalizada;Ao chegar no local, já havia sido feita a substituição do transformador no equipamento, que está operando normalmente.
6611360;BRBSNCYTW9;E52645DN;31140650;Loja30/ Jacui;16/12/2025;17/12/2025;;Equipamento não liga ;Foi relatado pelo cliente que as impressões estavam saindo em branco. O Técnico Volante deslocou-se até o local para realizar a manutenção e, durante a execução de alguns testes, identificou que a causa do problema foi a ligação da impressora em uma tomada de 220V utilizando um adaptador tipo “T”. Em decorrência disso, foi constatado pelo Técnico que a placa da fonte foi danificada devido à alta carga elétrica aplicada. Solicito apoio neste chamado.;Finalizada;Foi feito o orçamento de Peças que foram danificadas no equipamento e atualmente aguardamos as entregas das peças solicitadas pelo Técnico
6611397;BRBSP7600N;E52645DN;38067-572;Loja39/ Uberville;16/12/2025;21/12/2025;;Equipamento não liga ;O Ti local de Uberaba, foi relatado que na utilização do equipamento foi colocado na tomada 220v. O equipamento não está em funcionamento por ter danificado a placa fonte. Weverton Ti - +55 34 8420-1364;Finalizada;Foi feito o orçamento de Peças que foram danificadas no equipamento e atualmente aguardamos as entregas das peças solicitadas pelo Técnico/ Necessário a substituição da placa fusor, fonte e principal Até a chegada das peças/  Equipamento instalado e embarcado
6622198;BRCST680RN;E87760Z;34650010;Loja28/Sabara;18/12/2025;19/12/2025;;Equipamento Não Liga;Houve um atolamento na fusão na porta direita, tiveram vários atolamentos, nisso causando danos a fusão. O técnico deslocou-se até o local para verificar as condições do equipamento e constatou que a fusão encontra-se danificada. Solicito apoio neste chamado.;Finalizada;Foi feita a troca da fusão e equipamento se encontra funcionando perfeitamente. Foi feito um pedido de Peça para repor a que foi usada do Kit.
6630282;BRBSN2RKF6;E52645DN;74474-310;Loja31/Bosque;05/01/2026;08/01/2026;22/01/2026;Equipamento Não Liga;Prezados. Solicitamos um técnico para verificar o caso do equipamento se pode ser ligado após uma forte chuva no local. Aguardo retorno Atenciosamente;Finalizada;Feito o deslocamento e identificado o scanner e ADF estão extremamente molhados, danificando as peças. Foi gerado o termo de ciência. Feito o deslocamento e identificado o scanner e ADF estão extremamente molhados, danificando as peças. Foi gerado o termo de ciência.
6631285;BRBST550FC;E52645DN;33822-502;CD;05/01/2026;06/01/2026;;Equipamento Não Liga;Foi relatado pelo cliente que, após o remanejamento do equipamento para outro local, ele foi conectado acidentalmente a uma tomada de 220 V. Desde então, a impressora não está mais ligando. Peço apoio neste chamado. Dano Acidental.;Finalizada;Após a realização de todas as verificações no equipamento, foi identificado um capacitor estourado. Constatou-se que o dano ocorreu devido à remoção da impressora do local de origem e à ligação do equipamento diretamente na tensão de 220V, ocasionando a queima da fonte de alimentação. Seguem anexas as imagens com o número de série do equipamento, bem como a folha de orçamento devidamente assinada pelo cliente.
6633623;BRCST660GK;E87760Z;75805-122;Loja22/Jatai;07/01/2026;10/01/2026;13/01/2026;Equipamento Não Liga;Foi relatado pelo cliente que a impressora está apresentando ruído excessivo durante o processo de impressão, além de exibir o código de erro “59.00.B0”. Solicito apoio com urgência para este chamado, uma vez que a impressora de cartaz é de suma importância para a operação das lojas.;Finalizada;Feito o atendimento e realizado ajustes no equipamento, resolvendo o problema.
6634153;BRCST6805Q;E87760Z;39400-318;Loja04 / Dulce Sarmento;07/01/2026;10/01/2026;;Falha no Acessório;Foi relatado pelo cliente que a bandeja 3 não está funcionando e está apresentando mensagem de erro. Realizei alguns testes remotamente junto ao cliente, porém o problema persiste. Solicito apoio neste chamado para que a operação não seja interrompida.;Finalizada;Equipamento apresentava papel preso , foi retirado cliente orientado. Equipamento funcionando normalmente.
6642942;S15325033225090;NDDIGITAL;75094-575;Administrativo/ Contagem-MG;12/01/2026;15/01/2026;16/01/2026;Configuração;"Software: SERVIDOR; Tipo de serviço: Reinstalação; Descrição do Problema: Fila de Impressão por servidor desapareceu. Verificamos e realmente a fila tinha sumido, não sabemos a causa do problema. Mas, tivemos o suporte do Analista Zimmerman Yosmani Dos Santos, a fila adicionada novamente, funcionando normalmente.";Finalizada;Validado que a opção de Cor não estava habilitada na fila de impressão. Após orientações passadas ao residente (Alisson) ele realizou a ativação possibilitando assim a impressão colorida.
6645987;BRCST68077;E87760Z;38067-572;Loja39/ Uberville;13/01/2026;18/01/2026;14/01/2026;Falha no Acessório;Bandeja 3 não está funcionando, realizamos o atendimento e fizemos alguns testes para verificar o ocorrido, mas sem solução, peço apoio de alguns Técnico para averiguar a causa do problema. Peço prioridade neste atendimento para não parar a operação.;Finalizada;
6654359;BRCST68077;E87760Z;38067-573;Loja39/ Uberville;16/01/2026;21/01/2026;19/01/2026;Atolamento ou encravamento na Bandeja;Peço Apoio de algum Técnico para verificar a impressora colorida. Está apresentado vários atolamentos próximo a fusão, peço o apoio neste chamado.;Finalizada;Feito a desobstrução do registro, belt e entrada do fusor. Equipamento configurado e testado pelo cliente com vários tamanhos de papel e gramaturas diferente. Alta umidade nas folhas A4, TI da empresa ciente.
6659907;BRCST6804J;E87760Z;37701-386;Loja32/ Poços de caldas;19/01/2026;22/01/2026;;Falha no Acessório;Troca de fusível queimado;Finalizada;O Técnico ira levar o Fusível depois, pois não tinha no momento do atendimneto
6657561;BRCST680MM;E87760Z;36088-000;Loja07/ Juiz de Fora;19/01/2026;22/01/2026;30/01/2026;Atolamento ou encravamento na saída;Foi relatado pelo cliente que está tendo um atolamento da porta direita, realizei alguns teste e sem solução. Peço apoio ao Técnico que verifique a fusão para verificar como está. Código de erro apresentado na tela: 13.B9.D2 Atolamento na porta direita;Finalizada;Visita tecnica realizada foi feito a substituição da unidade fusora, estava com a pelicula rasgada impossibilitando o funcionamento do equipamento, roletes substituído por desgastes, impressora testada, e esta funcionando normalmente.
6661946;BRCST68045;E87760Z;38740-014;Loja35/Patrocinio;20/01/2026;23/01/2026;29/01/2026;Atolamento ou encravamento na saída;Foi relatado pelo cliente que está ocorrendo vários atolamentos na fusão, fiz atendimento junto com Ti local remotamente e verificamos que a fusão está danificada, por terem ocorrido diversos atolamentos a fusão foi danificada. Peço apoio para este chamado, Ti da loja Patrocínio: Erick - +55 11 99682-9811;Finalizada;Troca de fusão efetuada, equipamento em funcionamento
6674162;BRBSN8DBTK;E52645DN;35501-221;Loja13/Divinopolis;23/01/2026;26/01/2026;09/02/2026;Equipamento Não Liga;Foi relatado pelo cliente que a impressora desligou sozinha e que não está ligando mais. Peço apoio neste chamado com Urgência, pois este equipamento é de uso muito importante para o setor RM.;Finalizada;Equipamento com placa fonte queimada (Gerado Orçamento) 44615114
6674928;S15325033325090;NDDIGITAL;32113260;Administrativo/ Contagem-MG;23/01/2026;26/01/2026;;Configuração;"Software: NDD; Tipo de serviço: Outras solicitações; Descrição do Problema: Solicito apoio no NDD 360, para criar uma aba ""Filial"" para extração de relatórios de trabalhos de impressão por usuários. Com isso posso saber em qual Filial alguns usuários estão alocados e fazer o controle de onde estão. Peço apoio para alinharmos com o contrato.";Finalizada;"Na manhã do dia 27/01, o responsável Adão retornou o contato inicial realizado via Teams. Durante o alinhamento, Adão explicou a necessidade de adicionar um novo critério de filtro no Portal 360, com o objetivo de extrair relatórios de impressão por usuário segmentados por filiais. Foi esclarecido que, atualmente, o Portal 360 não permite a criação de filtros personalizados por filial. As opções de segmentação disponíveis são Local, Departamento e Conta. No ambiente em questão, as configurações de Local e Departamento não estão em uso, fazendo com que todos os registros estejam associados ao valor Default, o que inviabiliza esse tipo de filtragem no cenário atual. Também foi informado que, caso o cliente deseje implementar a utilização de Local e/ou Departamento para viabilizar esse tipo de relatório, será necessária a abertura de um novo chamado direcionado ao escopo de MPS, para avaliação e implementação da mudança. Por fim, demonstramos que a opção Conta está ativa e corretamente configurada no ambiente, podendo ser utilizada como critério de filtro nos relatórios disponíveis. O responsável confirmou o entendimento das informações e informou que sua dúvida havia sido esclarecida. Diante disso, seguimos com o encerramento do chamado. Atenciosamente, Carolina Monteiro Ramos NDD | Consultor a serviço da Simpress E-mail: suportendd@simpress.com.br Exclusivo WhatsApp: (47) 9750-5354""."
6677899;BRCST660GS;E87760Z;75094575;Loja36/ Anápolis;26/01/2026;29/01/2026;;Impressões riscadas ou manchadas;Foi relatado pelo cliente que as impressões estão saindo com manchas nas folhas, foi realizado alguns testes, mas sem solução. Peço apoio para algum Técnico verificar o equipamento. Procurar por Marcelo Ti/ +55 62 9676-8215;Finalizada;Feito o atendimento e encontramos formigas e baratas no interior do equipamento, que fez ocorrer danos no fusor. Foi gerado o termo de ciência. Foi realizado a troca da unidade Fusão.
6683765;BRCST660GK;E87760Z;75805-122;Loja22/Jatai;27/01/2026;30/01/2026;;Impressões riscadas ou manchadas;Peço apoio com Urgência para algum Técnico Verificar o equipamento, está apresentando algumas manchas nós cartazes, foi realizado alguns testes mas sem solução. Equipamento parado.;Finalizada;Feito o atendimento e realizado ajustes e uma limpeza no equipamento, resolvendo o problema. Equipamento ok.
6687654;S15325033325090;NDDIGITAL;75805-122;Administrativo/ Contagem-MG;28/01/2026;31/01/2026;28/01/2026;Configuração;" Solicito apoio de algum analista para me auxiliar na questão da fila de impressão por servidor, alguns usuários estão relatando que quando vão imprimir algum documento no sistema interno deles, quando vão acessar a aba ""Propriedade"" ele trava e não consegue abrir a aba. Peço apoio para verificar se é alguma questão de permissão dos usuários para acessar está opção no sistema interno relacionado a fila de impressão ou será apenas um problema em decorrência do sistema interno.";Finalizada;
6711298;BRBSP9F14P;E52645DN;31210-442;Loja14/ P2;02/02/2026;03/02/2026;02/02/2026;Equipamento Não Liga;"Foi relatado pelo cliente que está apresentando um código de erro na Tela ""98.00.00"" que está relacionado ao HD/eMMc. O Técnico local está em deslocamento para a localidade.";Finalizada;O Técnico foi até a localidade e realizou o atendimento, atualizando o Firmware do equipamento, e realizando alguns testes no equipamento. Equipamento se encontra em funcionamento e produzindo.
6741963;BRCST6608J;E87760Z;32072-432;Loja 16/ Tropical;18/02/2026;19/02/2026;;Falha no Acessório;"Equipamento apresentando código de erro ""63.00.30"", Foi realizado alguns testes, mas sem solução. Peço apoio neste chamado.(Em separação - LCU)";Finalizada;Peça troca, equipamento operante
6749111;BRCST8502G;E87760Z;32113-260;Administrativo/ Contagem-MG;23/02/2026;24/02/2026;05/03/2026;Falha no Acessório;Solicito apoio para a aquisição de duas peças para o referido equipamento: Tambor de imagem – Tambor preto HP W9077MC Unidade de limpeza (Transfer Belt Cleaning Unit) – HP 5PN79A As peças são necessárias para a realização da manutenção preventiva do equipamento, antes do término da vida útil dos componentes atuais.;Finalizada;Foi a substituição da unidade de imagem e ITB. O equipamento se encontra em funcionamento e produzindo.
6761025;BRCST6804X;E87760Z;37200-248;Loja 33/ lavras;26/02/2026;01/03/2026;06/03/2026; Falha no Acessório;Foi relatado pelo cliente que a Bandeja 3 não está reconhecendo o papel. Foram realizados testes de diagnóstico remotamente, porém sem êxito na resolução da ocorrência. Conforme verificação efetuada pelo Técnico Residente, Allison Rodrigo, foi identificado que o sensor da Bandeja 3 não apresentou resposta durante os testes funcionais realizados, indicando possível falha no componente. Observação: Solicita-se ao técnico responsável que realize a validação do sensor da Bandeja 3, a fim de verificar eventual dano ou mau funcionamento. Favor executar os testes técnicos necessários para assegurar o pleno funcionamento do componente. Caso seja constatada avaria, segue o código da peça para substituição: JC93-01408A.;Finalizada;EQUIPAMENTO COM PROBLEMA NA BANDEJA A3 , PROBLEMA NO SENSOR DA BANDEJA , SERA NESCESSARIO A TROCA DO MESMO , O ANALISTA JA TERIA COLOCADO O CODIGO DA PEÇA PARA FAZER O PEDIDO , POREM ESSE CÓDIGO DA PEÇA QUE SERIA O SENSOR NAO SE ENCONTRA EM CADASTRO NO SISTEMA DA SIMPRESS , SO PELO SITE EFETUANDO COMPRA.
6762287;BRCST73097;E87760Z;30870-100;Loja 11/ Brigadeiro;27/02/2026;28/02/2026;13/03/2026; Atolamento ou encravamento na saída;"Foi relatado pelo cliente a ocorrência de atolamentos constantes no equipamento. Realizou-se atendimento remoto, durante o qual foram executados os testes pertinentes; contudo, não foi possível solucionar a ocorrência. Solicita-se o direcionamento de um técnico volante à localidade para realizar a verificação do equipamento e proceder com a devida avaliação de funcionamento.";Finalizada;Foi realizado o atendimento na localidade pelo Técnico, foi encontrado atolamentos na fusão, foi feito a remoção do atolamento e realizado os testes no equipamento. Equipamento se encontra em funcionamento e operante.
6763405;BRBST43023;E52645DN;32260-000;Loja 18/ HM;27/02/2026;28/02/2026;24/04/2026;Equipamento Não Liga;O cliente informou que o equipamento foi conectado à rede de 220V e, desde então, não está mais ligando. Solicito o apoio de um técnico na localidade para verificação do ocorrido e realização das devidas tratativas, incluindo a coleta de evidências.;Finalizada;equipamento se encontra em funcionamento e produzindo normalmente, foram feitas as trocas da Placa Fonte e HVPS (Placa de Alta)
6768785;BRCST730BX;E87760Z;31210-442;Loja 14/ Pedro ll;02/03/2026;03/03/2026;;Atolamento ou encravamento na saída;Foi relatado pelo cliente que estão ocorrendo diversos atolamentos na porta direita do equipamento. Durante verificação remota realizada em conjunto com o cliente, foram identificados fragmentos de papel presos na unidade de fusão, os quais estão ocasionando os atolamentos. Solicita-se o envio de um técnico ao local para verificar o estado das peças envolvidas e realizar os testes de funcionalidade necessários.;Finalizada;"Foi realizado atendimento técnico na localidade. Durante a análise, constatou-se que os atolamentos estavam relacionados à fila de impressão unificada, que estava configurada com a gramatura de papel incorreta. Dessa forma, ao enviar um documento com gramatura mais baixa para a fila unificada, o equipamento processava o material como se fosse de alta gramatura na etapa de fusão, ocasionando os atolamentos.

As configurações foram ajustadas corretamente e, no momento, o equipamento encontra-se em pleno funcionamento e operando normalmente."
6779847;BRCST6609P;E87760Z;35900970;Loja 23/ Itabira;09/03/2026;12/03/2026;07/05/2026;Atolamento ou encravamento na saída;Foi relatado pelo cliente que está ocorrendo atolamentos recorrentes no equipamento, foi realizados os testes remotamente mas sem sucesso. Peço que algum Técnico que realize o atendimento e faça uma avaliação de funcionamento no equipamento.;Finalizada;Equipamento em funcionamento e produzindo
6781108;BRBST43032;E52645DN;33822-502;CD;09/03/2026;10/03/2026;11/03/2026;Falha no Acessório;Foi relatado pelo cliente a ocorrência de ruídos provenientes do equipamento. O técnico deslocou-se até o local para verificação e constatou que o equipamento apresentava o código de erro “60.00.02”. Durante a análise, foi identificado que a bandeja 2 não está realizando o movimento de elevação durante o processo de impressão.;Finalizada;Foi identificado que o que estava ocorrendo para a bandeja 2 não subir, era excesso de papel na bandeja
6841080;BRBSQ2H0HH;E52645DN;32113-260;Administrativo/ Contagem-MG;07/04/2026;10/04/2026;Chamado cancelado;Equipamento Não Liga;Solicito apoio para este equipamento. Foi realizada a entrega, porém, ao verificarmos, constatamos que o vidro do ADF veio quebrado durante o transporte, além de o equipamento estar muito sujo. Peço, por gentileza, que avaliem a situação para que possamos obter a devida solução.;Cancelado;Cancelar chamado no Ticket
6841120;BRBSQ6M0PD;E52645DN;32113-260;Administrativo/ Contagem-MG;07/04/2026;10/04/2026;Chamado cancelado;Equipamento Não Liga;"Solicito apoio para este equipamento. Foi realizada a entrega; porém, ao verificarmos, constatamos que o vidro do ADF veio quebrado durante o transporte. Além disso, o equipamento encontra-se muito sujo e com a carcaça danificada. Peço, por gentileza, que avaliem a situação para que possamos obter a devida solução.";Cancelado;Cancelar chamado no Ticket
6842383;BRBSRDK087;E52645DN;32113-260;Administrativo/ Contagem-MG;07/04/2026;10/04/2026;Chamado cancelado;Equipamento Não Liga;Solicito apoio para este equipamento. Foi realizada a entrega, porém, ao verificarmos, constatamos que o vidro do ADF veio quebrado durante o transporte, além de o equipamento estar muito sujo. Peço, por gentileza, que avaliem a situação para que possamos obter a devida solução.;Cancelado;Cancelar chamado no Ticket
6844558;BRBSP3JMWC;E52645DN;32113-260;Administrativo/ Contagem-MG;08/04/2026;11/04/2026;Chamado cancelado;Equipamento Não Liga;"Solicito apoio para este equipamento. Foi realizada a entrega; porém, ao verificarmos, constatamos que a carcaça do equipamento veio danificada durante o transporte. Peço, por gentileza, apoio para tratarmos e solucionarmos este caso.";Cancelado;Cancelar chamado no Ticket
6847046;BRBSNCRNGS;E52645DN;32113-260;Administrativo/ Contagem-MG;09/04/2026;12/04/2026;Chamado cancelado;Equipamento Não Liga;"Solicito apoio para este equipamento. Foi realizada a entrega; porém, ao verificarmos, constatamos que a carcaça do equipamento veio danificada durante o transporte. Peço, por gentileza, apoio para tratarmos e solucionarmos este caso.";Cancelado;Cancelar chamado no Ticket
6846338;S15325039526020;NDDIGITAL;32113-260;Administrativo/ Contagem-MG;09/04/2026;12/04/2026;20/04/2026;Instabilidade;Foi relatado pelo cliente que o NDD agent não está funcionando na maquina, não aparece a senha na tela. Foi feito os testes remotamente mas sem sucesso, mesmo com os serviços do NDD ativo na maquina, ainda não aparece a tela pedindo a senha, peço o apoio para este chamado com urgência.;Finalizada;Chave do NDD para ignorar os drivers foi excluída e adicionada novamente no agent, demandando tempo necessário de replicação em todos os agents, após período de replicação, os agents voltaram a apresentar a PIN, conforme era anteriormente.
